이름,Latitude,Longitude
일산대교,37.6510615,126.7168665
김포대교,37.6113150,126.7932786
행주대교,37.5983443,126.8099029
방화대교,37.5889819,126.8277141
가양대교,37.5693231,126.8609947
마포대교,37.5562444,126.8852874
성산대교,37.5529745,126.8917110
양화대교,37.5433561,126.9041410
당산철교,37.5403632,126.9073989
서강대교,37.5373814,126.9252131
마포대교,37.5337074,126.9366799
원효대교,37.5270497,126.9456422
한강철교,37.5190436,126.9514156
한강대교,37.5164099,126.9581868
동작대교,37.5103197,126.9817440
반포대교,37.5153748,126.9961827
한남대교,37.5271406,127.0130813
동호대교,37.5360973,127.0211497
성수대교,37.5370472,127.0349351
영동대교,37.5301523,127.0572006
청담대교,37.5269186,127.0646159
잠실대교,37.5242292,127.0917213
잠실철교,37.5290882,127.0986377
올림픽대교,37.5339321,127.1039465
천호대교,37.5429493,127.1121882
광진교,37.5447623,127.1131987
구리암사대교,37.5690560,127.1320570
강동대교,37.5778174,127.1616592
미사대교,37.5861607,127.1980370
팔당대교,37.5457249,127.2373113